gene_id	gene_name	SYMBOL	ENTREZID	baseMean	log2FoldChange	padj
ENSG00000105499.16	PLA2G4C	PLA2G4C	8605	157.982757188974	-1.28546741467732	1.51510193322141e-09
ENSG00000049246.17	PER3	PER3	8863	251.337254561861	-2.18614842480415	2.03715971734861e-09
ENSG00000167992.16	VWCE	VWCE	220001	270.503725296027	-1.37075359764429	2.90828661099748e-09
ENSG00000101255.15	TRIB3	TRIB3	57761	310.577307386209	-1.08907124388863	3.37769723086683e-09
ENSG00000154263.19	ABCA10	ABCA10	10349	168.504308510802	-1.49544338253434	4.04545099136696e-09
ENSG00000166592.15	RRAD	RRAD	6236	115.067108066219	-1.45758549746191	4.09997628350916e-09
ENSG00000137266.16	SLC22A23	SLC22A23	63027	214.583691096225	-1.26891058029671	4.25944580735408e-09
ENSG00000168781.26	PPIP5K1	PPIP5K1	9677	316.123705377456	-1.19288174098714	5.26710066103646e-09
ENSG00000146006.9	LRRTM2	LRRTM2	26045	56.9098491232827	-4.39398525197427	9.11491950367177e-09
ENSG00000129048.9	ACKR4	ACKR4	51554	1606.90997989843	-1.40683430846303	9.3610218447555e-09
ENSG00000246763.8	RGMB-AS1	RGMB-AS1	503569	145.730052434506	-1.39953839829829	1.19146968472266e-08
ENSG00000070669.19	ASNS	ASNS	440	418.346425205049	-1.01860022214357	1.2052478547813e-08
ENSG00000177606.9	JUN	JUN	3725	3223.47529253455	-1.17821573764677	1.68012925462126e-08
ENSG00000135472.11	FAIM2	FAIM2	23017	165.660046760139	-1.7935921767898	1.88310466217955e-08
ENSG00000196932.13	TMEM26	TMEM26	219623	74.3229619386141	-1.93336145993689	1.91136378289273e-08
ENSG00000267339.9	LINC00906	LINC00906	148145	81.0462665910491	-2.37864561401183	1.93634603105591e-08
ENSG00000103710.12	RASL12	RASL12	51285	1066.48946071724	-1.03454680729004	3.23439714296243e-08
ENSG00000283239.1	KBTBD11-OT1	KBTBD11-OT1	104266957	21.3933005381808	-7.42560597872737	3.2479176842214e-08
ENSG00000162643.15	DNAI3	DNAI3	126820	95.2869551438295	-1.89595709456944	3.8888945650148e-08
ENSG00000145362.23	ANK2	ANK2	287	2052.98678838331	-1.01748237286842	4.25021222047944e-08
ENSG00000106809.13	OGN	OGN	4969	1093.55974671939	-1.37322034815464	4.34097483452916e-08
ENSG00000077264.19	PAK3	PAK3	5063	201.728546587294	-1.01183923306329	5.04569344109685e-08
ENSG00000105516.12	DBP	DBP	1628	99.796848969273	-1.51079083595318	7.21424442331668e-08
ENSG00000124225.17	PMEPA1	PMEPA1	56937	147.459083999844	-1.25962411252185	8.14478706155352e-08
ENSG00000161381.16	PLXDC1	PLXDC1	57125	651.8637878728	-1.46844873878878	1.08345861909535e-07
ENSG00000100592.17	DAAM1	DAAM1	23002	784.72704273168	-1.12803389228418	1.10485146111861e-07
ENSG00000182010.13	RTKN2	RTKN2	219790	137.533146625424	-1.65750906303573	1.45421358350992e-07
ENSG00000105711.16	SCN1B	SCN1B	6324	117.622409851478	-1.28183301936904	1.64628562421008e-07
ENSG00000128602.13	SMO	SMO	6608	293.127216320056	-1.02446792842706	1.73430557799672e-07
ENSG00000137872.19	SEMA6D	SEMA6D	80031	291.717976195949	-1.3241727342112	1.75198598768279e-07
ENSG00000149403.15	GRIK4	GRIK4	2900	50.2671003821344	-2.26812398253988	2.13166461389753e-07
ENSG00000105486.17	LIG1	LIG1	3978	186.563481063745	-1.05831179289334	2.14423476899504e-07
ENSG00000188176.14	SMTNL2	SMTNL2	342527	46.8561452438331	-2.94404061727488	3.11039732089943e-07
ENSG00000182580.5	EPHB3	EPHB3	2049	433.65686364356	-1.47501737776479	3.12420696612461e-07
ENSG00000167106.14	EEIG1	EEIG1	399665	985.27545578215	-1.04426039537383	3.30425755995373e-07
ENSG00000137965.13	IFI44	IFI44	10561	224.908405196233	-1.06641764996436	4.2207438182613e-07
ENSG00000138944.9	SHISAL1	SHISAL1	85352	245.617818241668	-1.56371827934133	6.62479327711478e-07
ENSG00000100292.19	HMOX1	HMOX1	3162	2433.11035714958	-1.24909677951304	6.64634665507405e-07
ENSG00000040731.12	CDH10	CDH10	1008	77.0908539134676	-1.91902777231019	6.93523286419315e-07
ENSG00000079257.9	LXN	LXN	56925	1776.59992669548	-1.04942396260049	1.26602717097816e-06
ENSG00000016391.13	CHDH	CHDH	55349	111.546293634904	-1.78300359957544	1.46565198870134e-06
