ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0045637	regulation of myeloid cell differentiation	15/365	163/12778	0.0920245398773006	3.2216152617867	4.89487411164981	6.67018437619475e-05	0.00426404437363095	0.00331745548852758	LRRC17/RAB7B/TNFRSF11B/LIF/RASSF2/TNFAIP6/MEIS2/YPEL4/EEIG1/GPR68/IL34/MAFB/CAMK4/INPP5D/TNFRSF11A	15
GO:0046942	carboxylic acid transport	19/365	242/12778	0.0785123966942149	2.74857919166761	4.70907924760907	6.70299308596151e-05	0.00426404437363095	0.00331745548852758	SLC6A6/SLC6A9/CRABP2/BDKRB2/PLA2G4A/P2RX7/SLC7A14/SLC7A11/RGS4/SLC51B/SLC7A5/ADORA1/PTGS2/ABCB4/PER2/SLC22A4/FOLR3/SLC1A7/TNFRSF11A	19
GO:0015849	organic acid transport	19/365	243/12778	0.0781893004115226	2.7372681661875	4.68846125368059	7.08491157698142e-05	0.00442929127209218	0.00344601869805993	SLC6A6/SLC6A9/CRABP2/BDKRB2/PLA2G4A/P2RX7/SLC7A14/SLC7A11/RGS4/SLC51B/SLC7A5/ADORA1/PTGS2/ABCB4/PER2/SLC22A4/FOLR3/SLC1A7/TNFRSF11A	19
GO:1902105	regulation of leukocyte differentiation	18/365	225/12778	0.08	2.80065753424658	4.67273464564455	8.16780174135936e-05	0.00493899598577025	0.00384257242774821	SOX4/LRRC17/TNFRSF11B/LIF/DUSP10/RASSF2/TNFAIP6/SOCS1/EEIG1/GPR68/IL34/MAFB/EGR3/LGALS9/CAMK4/INPP5D/TNFSF9/TNFRSF11A	18
GO:0090066	regulation of anatomical structure size	26/365	400/12778	0.065	2.27553424657534	4.44446388770789	8.30884597716452e-05	0.00493899598577025	0.00384257242774821	CXCL12/SEMA3A/AMOT/CRABP2/BDKRB2/ARHGAP28/RND2/PRKCE/DNM1/P2RX7/CYFIP2/FGF13/PAK3/SEMA6D/VEGFA/AGT/CRACD/ARHGAP42/SPTA1/ADRA2A/SPTBN4/CDC42EP5/NGF/ADORA1/PER2/CCL11	26
GO:1903530	regulation of secretion by cell	26/365	400/12778	0.065	2.27553424657534	4.44446388770789	8.30884597716452e-05	0.00493899598577025	0.00384257242774821	CCKAR/SOX4/CXCL12/CCN3/LIF/PRKCE/PLA2G4A/P2RX7/SDC1/AGT/IL12A/GPR68/TGFB2/ADCY8/CAMK2A/ADRA2A/LGALS9/RAB27B/SNCAIP/NGF/ADORA1/PER2/EPHA5/ACVR1C/TNFRSF11A/CD177	26
GO:0003338	metanephros morphogenesis	5/365	17/12778	0.294117647058824	10.2965350523771	6.57696785757923	8.62311997780515e-05	0.00498188022907943	0.00387593666035733	FGF10/LIF/LGR4/SOX9/SMO	5
GO:0002683	negative regulation of immune system process	26/365	401/12778	0.0648379052369077	2.26985959758139	4.43039755243144	8.65577645979052e-05	0.00498188022907943	0.00387593666035733	CXCL12/GDF15/CCN3/LRRC17/RAB7B/TNFRSF11B/DUSP10/LGR4/COL3A1/GRAMD4/TNFAIP6/YPEL4/SOX9/SOCS1/HMOX1/GPR68/TGFB2/MAFB/MERTK/LGALS9/LGALS9C/ACP5/ADORA1/TSPAN32/HLA-A/INPP5D	26
GO:0043269	regulation of monoatomic ion transport	21/365	290/12778	0.0724137931034483	2.53507794048181	4.53425026078501	9.03495213541461e-05	0.00511886506922084	0.00398251179653144	CXCL12/PRKCE/P2RX7/PRKG2/BDKRB1/CLIC2/NEDD4L/FGF13/ANK2/SCN1B/KCNE3/KCNS1/AGT/RGS4/CAMK2A/ADRA2A/SPTBN4/NGF/ADORA1/WNK4/PLPP4	21
GO:0003015	heart process	16/365	189/12778	0.0846560846560847	2.96365876639849	4.66362700017383	0.000104401268848398	0.00582398462837371	0.00453109960346083	TBX18/SGCD/CLIC2/NEDD4L/FGF13/ADM2/ANK2/SCN1B/KCNE3/AGT/RGS4/RAMP3/TGFB2/CACNA1G/SPTBN4/ADORA1	16
GO:0030879	mammary gland development	12/365	115/12778	0.104347826086957	3.65303156640858	4.90055802728852	0.00010777073453113	0.00585129174668888	0.0045523447270085	WNT2/FGF10/ROBO1/SOX9/SMO/VEGFA/NRG1/RXFP1/SLC22A4/FGFR2/TNFRSF11A/CCL11	12
GO:0070371	ERK1 and ERK2 cascade	18/365	230/12778	0.0782608695652174	2.73977367480643	4.56553755996149	0.000108223708492369	0.00585129174668888	0.0045523447270085	NEK10/EPHB2/FGF10/LIF/DUSP10/SOX9/JUN/VEGFA/BMPER/RAMP3/NRG1/PSCA/LGALS9/NGF/WNK4/FGFR2/TNFRSF11A/CCL11	18
GO:0030316	osteoclast differentiation	10/365	82/12778	0.121951219512195	4.26929502171734	5.0927233452268	0.000109731891554011	0.00585129174668888	0.0045523447270085	LRRC17/TNFRSF11B/RASSF2/TNFAIP6/EEIG1/GPR68/MAFB/CAMK4/INPP5D/TNFRSF11A	10
