ENTREZID	stat
23169	5.66679562019962
5587	5.66285469948637
125488	5.66120204677287
81669	5.65853216634203
8491	5.65542631777476
1825	5.65065832221989
81544	5.63838066273365
2936	5.6337319586834
8516	5.63224553465963
4609	5.62454710303236
57291	5.6081973272226
11341	5.60801957201205
6502	5.60499539776469
847	5.59280790922522
203190	5.58395110703501
257194	5.57087796892473
137872	5.55166186931384
4324	5.53995470592355
1984	5.53652073140862
2760	5.5298649994846
23582	5.52931234610418
80205	5.52539279825841
390860	5.52318750621822
3187	5.51691842992683
10135	5.51687182383613
57493	5.51471461476494
23171	5.50974489757063
10865	5.5004423319838
401093	5.49786716400706
6747	5.49684555521589
10048	5.49682413623355
396	5.48938290145506
116236	5.48128366493529
196383	5.47919003889907
1471	5.47762450933759
84747	5.47621064123183
10965	5.47430727609287
53358	5.47286641807855
3939	5.4623499840599
60684	5.44712748140888
8780	5.44444021949871
9136	5.44206237664363
5550	5.44180991199423
387111	5.44126578558532
2119	5.43703219739835
9180	5.4313090778452
71	5.42472156145784
126321	5.42239686861379
3075	5.41797645912026
79892	5.41707179774156
166929	5.41557164463628
81671	5.41337407756395
6723	5.40695413830159
2273	5.39203543348689
51465	5.39113172342627
115908	5.39096813814998
6854	5.38272556562303
7088	5.38058505369313
124402	5.38041909321579
27106	5.37248079508441
51061	5.36758436546078
476	5.3617333498996
51099	5.35928966675932
2764	5.34526633039206
80723	5.34508711739404
9948	5.34278218999026
23670	5.34120851934866
22948	5.33692834657893
5686	5.33669336769692
84002	5.33005298475919
2239	5.32816846324816
90990	5.32554966971005
1022	5.32333543406446
254887	5.32207256134165
832	5.31041751604945
100507308	5.29487728967419
3603	5.29275454563922
79772	5.28354241016179
64780	5.27550386741755
5705	5.27453401088472
1718	5.27183156561075
80005	5.26992585913833
151449	5.25809079032306
57538	5.25659453948808
11185	5.22595371177083
8828	5.22093222021931
283	5.21386722862525
142891	5.2116037832381
359845	5.20154511661301
2783	5.19817736104487
57532	5.19768508820752
203427	5.19343121865519
133	5.19088546176029
9188	5.17737577888831
23013	5.1669900161105
83892	5.16240438222124
80781	5.15604117193814
65010	5.15594888573956
115557	5.15414676506361
5045	5.14330319533982
58986	5.13590130830439
1613	5.12716906323191
9645	5.12369967542332
5468	5.12329384736573
9766	5.12212055722676
51304	5.11748948450835
3909	5.11615659547271
9531	5.11446923312023
9915	5.10911654134566
6717	5.10276609321351
26115	5.098837652098
2876	5.0966155497079
54458	5.08957592169691
11149	5.08844684341368
286410	5.08590087323986
381	5.08205872540534
22879	5.08180628588436
5378	5.07993652720988
55343	5.06854508516176
23609	5.06692160572351
91012	5.06644021253544
84557	5.06622915049059
7975	5.06407184851827
135293	5.0631014638685
7417	5.06177959110878
2319	5.05453588563061
9446	5.04847679305857
4121	5.04761768884119
9674	5.04418881225514
130271	5.03837712838978
63924	5.03750070556409
3915	5.02111686840965
64854	5.01103760449631
5286	5.01065126967628
57631	5.00883003374196
79155	5.00833370157867
1902	5.00788043638902
10516	5.0046431506348
