gene_id	gene_name	SYMBOL	ENTREZID	baseMean	log2FoldChange	padj
ENSG00000140545.18	MFGE8	MFGE8	4240	9869.89136340713	1.18512706451759	1.05744922558223e-28
ENSG00000148120.21	AOPEP	AOPEP	84909	709.586087640245	1.20602533711472	1.07387077045423e-28
ENSG00000138829.16	FBN2	FBN2	2201	16274.4743255422	1.95463533598897	2.4254872172394e-28
ENSG00000072958.11	AP1M1	AP1M1	8907	2253.31685398304	1.1135460068855	5.31119580677175e-28
ENSG00000246430.10	LINC00968	LINC00968	100507632	2832.76090211547	1.87042807418851	1.0402757497695e-27
ENSG00000115419.16	GLS	GLS	2744	4555.89319470059	1.17425783551022	1.0966831973774e-27
ENSG00000221866.12	PLXNA4	PLXNA4	91584	857.510623870416	2.73926331004385	1.587530710452e-27
ENSG00000008311.18	AASS	AASS	10157	1310.90417034156	1.13159879585304	1.67001495456636e-27
ENSG00000069431.16	ABCC9	ABCC9	10060	1058.89917317895	1.12031990110954	1.95044752298092e-27
ENSG00000256235.5	SMIM3	SMIM3	85027	1134.03442185829	1.28689846766037	2.38153645951929e-27
ENSG00000137672.15	TRPC6	TRPC6	7225	725.197134716369	1.76784301087004	3.45011251945504e-27
ENSG00000164442.13	CITED2	CITED2	10370	7728.4694168661	1.57729863906408	3.68137214878406e-27
ENSG00000173221.16	GLRX	GLRX	2745	2088.39797497055	1.07925963046955	7.78271389368813e-27
ENSG00000206190.14	ATP10A	ATP10A	57194	343.341249093905	1.65043949493078	1.25604634563047e-26
ENSG00000162496.12	DHRS3	DHRS3	9249	4214.24847640814	1.09353739986734	1.36133091795306e-26
ENSG00000060718.24	COL11A1	COL11A1	1301	352.665129929028	2.33793995118767	2.74278776589094e-26
ENSG00000096060.17	FKBP5	FKBP5	2289	2700.29966136737	4.02533352079071	3.50568863458911e-26
ENSG00000177674.18	AGTRAP	AGTRAP	57085	907.475868120686	1.1074313419714	1.60495621173642e-25
ENSG00000119508.19	NR4A3	NR4A3	8013	219.148081602106	2.08478736143045	2.20364282014965e-25
ENSG00000008256.19	CYTH3	CYTH3	9265	3774.11688153846	1.22387102109825	3.27612767361683e-25
ENSG00000177666.19	PNPLA2	PNPLA2	57104	2672.59075939594	1.16644012320874	3.65552044759082e-25
ENSG00000170214.6	ADRA1B	ADRA1B	147	235.238500070784	4.13735785427104	6.92910872574255e-25
ENSG00000164125.18	GASK1B	GASK1B	51313	7241.56132434991	1.02974715393783	9.62617879008711e-25
ENSG00000173517.13	PEAK1	PEAK1	79834	8323.86745597282	1.06954237144689	7.55986883136703e-24
ENSG00000177283.8	FZD8	FZD8	8325	149.070495082194	2.47719671818756	2.75910012016837e-23
ENSG00000136546.19	SCN7A	SCN7A	6332	5093.44142830614	1.37943467432122	6.76039388427931e-23
