ENSEMBL	ENTREZID	SYMBOL
ENSG00000065457	23536	ADAT1
ENSG00000162623	127253	TYW3
ENSG00000275765	100652758	LOC100652758
ENSG00000059377	6916	TBXAS1
ENSG00000164087	25886	POC1A
ENSG00000172766	79612	NAA16
ENSG00000126464	57479	PRR12
ENSG00000164808	23514	SPIDR
ENSG00000166136	4714	NDUFB8
ENSG00000175061	125144	SNHG29
ENSG00000246922	390595	UBAP1L
ENSG00000267390	118827811	KDSR-DT
ENSG00000142686	127703	C1orf216
ENSG00000112667	10591	DNPH1
ENSG00000125445	51081	MRPS7
ENSG00000197386	3064	HTT
ENSG00000167799	254552	NUDT8
ENSG00000141994	56931	DUS3L
ENSG00000213225	643276	NOC2LP1
ENSG00000285723	128706665	LOC128706665
ENSG00000104983	729440	CCDC61
ENSG00000111305	83445	GSG1
ENSG00000135077	84868	HAVCR2
ENSG00000249931	653125	GOLGA8K
ENSG00000184786	6991	DYNLT2
ENSG00000165934	53981	CPSF2
ENSG00000256092	112268105	SBNO1-AS1
ENSG00000088881	57593	EBF4
ENSG00000101146	8480	RAE1
ENSG00000104064	2553	GABPB1
ENSG00000124523	23408	SIRT5
ENSG00000125462	10485	MIR9-1HG
ENSG00000149547	9538	EI24
ENSG00000160949	4796	TONSL
ENSG00000129824	6192	RPS4Y1
ENSG00000131015	80328	ULBP2
ENSG00000267470	100507433	ZNF571-AS1
ENSG00000100226	9567	GTPBP1
ENSG00000182606	22906	TRAK1
ENSG00000253767	9708	PCDHGA8
ENSG00000090989	55763	EXOC1
ENSG00000124074	84080	ENKD1
ENSG00000111445	5985	RFC5
ENSG00000171223	3726	JUNB
ENSG00000273828	124904917	LOC124904917
ENSG00000151692	9781	RNF144A
ENSG00000243710	149465	CFAP57
ENSG00000244219	100289187	TMEM225B
ENSG00000083807	10998	SLC27A5
ENSG00000138161	50624	CUZD1
ENSG00000146674	3486	IGFBP3
ENSG00000100216	56993	TOMM22
ENSG00000157399	415	ARSL
ENSG00000285458	132989	C4orf36
ENSG00000288370	100128553	CTAGE4
ENSG00000166199	221120	ALKBH3
ENSG00000085185	63035	BCORL1
ENSG00000005844	3683	ITGAL
ENSG00000105376	7087	ICAM5
ENSG00000109083	90410	IFT20
ENSG00000247950	100533182	SEC24B-AS1
ENSG00000184986	80757	TMEM121
ENSG00000277140	9665	MARF1
ENSG00000167526	6137	RPL13
ENSG00000259075	100528030	POC1B-GALNT4
ENSG00000078043	9063	PIAS2
ENSG00000076258	2329	FMO4
ENSG00000111707	64426	SUDS3
ENSG00000167483	199786	NIBAN3
ENSG00000169282	7881	KCNAB1
ENSG00000223463	3136	HLA-H
ENSG00000255367	101927708	LOC101927708
ENSG00000168002	5436	POLR2G
ENSG00000150316	51503	CWC15
ENSG00000054282	10806	SDCCAG8
ENSG00000102683	6445	SGCG
ENSG00000135124	5025	P2RX4
ENSG00000141497	84225	ZMYND15
ENSG00000175003	6580	SLC22A1
